instruction,score,total_tokens,workflow,requirements,wgf1
你的任务是根据银行客户的各种信息，如账户活动、服务使用情况等，构建一个能够预测客户是否会流失的机器学习模型。,1.0,13131,"{""edges"": [{""edge_id"": ""6613"", ""source_node_id"": ""2416"", ""target_node_id"": ""8509""}, {""edge_id"": ""6614"", ""source_node_id"": ""8509"", ""target_node_id"": ""2418""}], ""nodes"": [{""node_id"": ""2416"", ""widget_name"": ""SQL Table"", ""node_name"": ""银行客户训练数据"", ""node_params"": {""table_name"": ""bank_customer_churn_train"", ""target_column"": ""Exited""}, ""matched"": true}, {""node_id"": ""8509"", ""widget_name"": ""One Hot Encoder"", ""node_name"": ""独热编码处理"", ""node_params"": {""encode_vars"": [""Geography"", ""Gender""]}, ""matched"": false}, {""node_id"": ""2418"", ""widget_name"": ""LightGBM"", ""node_name"": ""LightGBM分类器"", ""node_params"": {""boosting_type"": ""gbdt"", ""n_estimators"": 10, ""learning_rate"": 0.1, ""sampling_rate"": 0.1, ""max_depth_check"": false, ""max_depth"": 3, ""num_leaves_check"": false, ""num_leaves"": 31}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2013"", ""source_node_id"": ""2416"", ""target_node_id"": ""2418""}], ""step_requirements"": [{""node_id"": ""2416"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""银行客户训练数据"", ""node_params"": {""table_name"": ""bank_customer_churn_train"", ""target_column"": ""Exited""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2418"", ""algorithm_step_name"": ""LightGBM"", ""node_name"": ""LightGBM分类器"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",0.8
请你使用生物信号相关检测数据来训练一个机器学习模型用于预测一个人是否为吸烟者。,1.0,11315,"{""edges"": [{""edge_id"": ""6615"", ""source_node_id"": ""2424"", ""target_node_id"": ""2426""}], ""nodes"": [{""node_id"": ""2424"", ""widget_name"": ""SQL Table"", ""node_name"": ""生物信号相关检测数据训练数据"", ""node_params"": {""table_name"": ""smoker_status_bio_signals_train"", ""target_column"": ""smoking""}, ""matched"": true}, {""node_id"": ""2426"", ""widget_name"": ""Gradient Boosting Decision Tree"", ""node_name"": ""Gradient Boosting Decision Tree分类器"", ""node_params"": {""loss_function"": 0, ""n_estimators"": 10, ""learning_rate"": 0.1, ""use_max_depth"": false, ""max_depth"": 3, ""use_min_samples"": false, ""min_samples"": 2}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2025"", ""source_node_id"": ""2424"", ""target_node_id"": ""2426""}], ""step_requirements"": [{""node_id"": ""2424"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""生物信号训练数据"", ""node_params"": {""table_name"": ""smoker_status_bio_signals_train"", ""target_column"": ""smoking""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2426"", ""algorithm_step_name"": ""Decision Tree Model"", ""node_name"": ""决策树分类器"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",1.0
你需要使用人类的肾结石相关指标数据，开发一个机器学习模型预测一个人是否患有肾结石。,1.0,9943,"{""edges"": [{""edge_id"": ""6616"", ""source_node_id"": ""2444"", ""target_node_id"": ""2446""}], ""nodes"": [{""node_id"": ""2444"", ""widget_name"": ""SQL Table"", ""node_name"": ""人类的肾结石相关指标训练数据"", ""node_params"": {""table_name"": ""kidney_stone_train"", ""target_column"": ""target""}, ""matched"": true}, {""node_id"": ""2446"", ""widget_name"": ""Tree"", ""node_name"": ""决策树分类器"", ""node_params"": {""limit_min_leaf"": true, ""min_leaf"": 2, ""limit_min_internal"": true, ""min_internal"": 5, ""limit_depth"": true, ""max_depth"": 100}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2032"", ""source_node_id"": ""2444"", ""target_node_id"": ""2446""}], ""step_requirements"": [{""node_id"": ""2444"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""肾结石检查训练数据"", ""node_params"": {""table_name"": ""kidney_stone_train"", ""target_column"": ""target""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2446"", ""algorithm_step_name"": ""LightGBM"", ""node_name"": ""LightGBM分类器"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",1.0
您的工作是建立一个机器学习模型，根据客户以往的酒店预定相关数据，预测客户是否会取消预订。,1.0,12256,"{""edges"": [{""edge_id"": ""6617"", ""source_node_id"": ""2455"", ""target_node_id"": ""2461""}], ""nodes"": [{""node_id"": ""2455"", ""widget_name"": ""SQL Table"", ""node_name"": ""酒店预定相关数据"", ""node_params"": {""table_name"": ""reservation_cancellation_train"", ""target_column"": ""booking_status""}, ""matched"": true}, {""node_id"": ""2461"", ""widget_name"": ""LightGBM"", ""node_name"": ""LightGBM分类器"", ""node_params"": {""boosting_type"": ""gbdt"", ""n_estimators"": 10, ""learning_rate"": 0.1, ""sampling_rate"": 0.1, ""max_depth_check"": false, ""max_depth"": 3, ""num_leaves_check"": false, ""num_leaves"": 31}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2044"", ""source_node_id"": ""2455"", ""target_node_id"": ""2461""}], ""step_requirements"": [{""node_id"": ""2455"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""酒店预订训练数据"", ""node_params"": {""table_name"": ""reservation_cancellation_train"", ""target_column"": ""booking_status""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2461"", ""algorithm_step_name"": ""Decision Tree Model"", ""node_name"": ""Tree"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",1.0
你的目标是通过与肥胖相关的各种因素，如饮食、生活方式等数据，训练一个模型来预测个体的肥胖风险等级。,1.0,17082,"{""edges"": [{""edge_id"": ""6618"", ""source_node_id"": ""2467"", ""target_node_id"": ""8518""}, {""edge_id"": ""6619"", ""source_node_id"": ""8518"", ""target_node_id"": ""2469""}], ""nodes"": [{""node_id"": ""2467"", ""widget_name"": ""SQL Table"", ""node_name"": ""肥胖相关因素训练数据"", ""node_params"": {""table_name"": ""obesity_cvd_risk_train"", ""target_column"": ""NObeyesdad""}, ""matched"": true}, {""node_id"": ""8518"", ""widget_name"": ""One Hot Encoder"", ""node_name"": ""独热编码处理"", ""node_params"": {""encode_vars"": [""family_history_with_overweight"", ""FAVC"", ""SMOKE"", ""SCC"", ""CALC"", ""MTRANS""]}, ""matched"": false}, {""node_id"": ""2469"", ""widget_name"": ""Gradient Boosting Decision Tree"", ""node_name"": ""梯度提升决策树分类器"", ""node_params"": {""loss_function"": 0, ""n_estimators"": 100, ""learning_rate"": 0.1, ""use_max_depth"": true, ""max_depth"": 5, ""use_min_samples"": true, ""min_samples"": 2}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2049"", ""source_node_id"": ""2467"", ""target_node_id"": ""2469""}], ""step_requirements"": [{""node_id"": ""2467"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""肥胖风险训练数据"", ""node_params"": {""table_name"": ""obesity_cvd_risk_train"", ""target_column"": ""NObeyesdad""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2469"", ""algorithm_step_name"": ""Gradient Boosting Decision Tree"", ""node_name"": ""梯度提升决策树"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",0.8
肝硬化是由于肝脏长期受损，导致广泛的瘢痕形成，通常是由于肝炎或长期饮酒等疾病引起的。我们正在进行一项关于原发性胆汁性肝硬化的研究。希望你能构建一个模型，利用 17 种临床特征预测肝硬化患者的生存状态。,0.5,10066,"{""edges"": [], ""nodes"": [{""node_id"": ""8520"", ""widget_name"": ""Text"", ""node_name"": ""原发性胆汁性肝硬化训练数据"", ""node_params"": {}, ""matched"": false}, {""node_id"": ""2472"", ""widget_name"": ""Logistic Regression"", ""node_name"": ""逻辑回归模型"", ""node_params"": {""C"": 1, ""penalty"": ""l2""}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2051"", ""source_node_id"": ""2470"", ""target_node_id"": ""2472""}], ""step_requirements"": [{""node_id"": ""2470"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""原发性胆汁性肝硬化训练数据"", ""node_params"": {""table_name"": ""cirrhosis_patient_train"", ""target_column"": ""Status""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2472"", ""algorithm_step_name"": ""XGBoost"", ""node_name"": ""XGBoost"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",0.5
你的目标是训练一个机器学习模型，根据马匹健康状况的各项指标检测数据，预测马匹的健康状况。,1.0,17019,"{""edges"": [{""edge_id"": ""6620"", ""source_node_id"": ""2477"", ""target_node_id"": ""8523""}, {""edge_id"": ""6621"", ""source_node_id"": ""8523"", ""target_node_id"": ""8524""}, {""edge_id"": ""6622"", ""source_node_id"": ""8524"", ""target_node_id"": ""2480""}], ""nodes"": [{""node_id"": ""2477"", ""widget_name"": ""SQL Table"", ""node_name"": ""马匹健康状况检测数据"", ""node_params"": {""table_name"": ""horse_health_outcomes_train"", ""target_column"": ""outcome""}, ""matched"": true}, {""node_id"": ""8523"", ""widget_name"": ""Impute"", ""node_name"": ""缺失值处理"", ""node_params"": {""method"": 1}, ""matched"": false}, {""node_id"": ""8524"", ""widget_name"": ""One Hot Encoder"", ""node_name"": ""独热编码处理"", ""node_params"": {""encode_vars"": [""surgery"", ""peripheral_pulse"", ""mucous_membrane"", ""capillary_refill_time""]}, ""matched"": false}, {""node_id"": ""2480"", ""widget_name"": ""Tree"", ""node_name"": ""决策树分类器"", ""node_params"": {""limit_min_leaf"": true, ""min_leaf"": 2, ""limit_min_internal"": true, ""min_internal"": 5, ""limit_depth"": true, ""max_depth"": 100}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2055"", ""source_node_id"": ""2477"", ""target_node_id"": ""2480""}], ""step_requirements"": [{""node_id"": ""2477"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""马匹健康状况检测数据"", ""node_params"": {""table_name"": ""horse_health_outcomes_train"", ""target_column"": ""outcome""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2480"", ""algorithm_step_name"": ""Naive Bayes"", ""node_name"": ""朴素贝叶斯分类器"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",0.6667
你的任务是根据怪物的骨骼长度、腐烂程度、无魂程度和其他特征数据，训练一个模型来区分怪物是食尸鬼、幽灵还是妖精。,1.0,17983,"{""edges"": [{""edge_id"": ""6623"", ""source_node_id"": ""2485"", ""target_node_id"": ""8527""}, {""edge_id"": ""6624"", ""source_node_id"": ""8527"", ""target_node_id"": ""8528""}, {""edge_id"": ""6625"", ""source_node_id"": ""8528"", ""target_node_id"": ""2487""}], ""nodes"": [{""node_id"": ""2485"", ""widget_name"": ""SQL Table"", ""node_name"": ""怪物特征训练数据"", ""node_params"": {""table_name"": ""monster_train"", ""target_column"": ""type""}, ""matched"": true}, {""node_id"": ""8527"", ""widget_name"": ""Change Domain"", ""node_name"": ""数据类型转换"", ""node_params"": {""textAttrs"": [], ""categoricalAttrs"": [], ""numericAttrs"": [], ""datetimeAttrs"": []}, ""matched"": false}, {""node_id"": ""8528"", ""widget_name"": ""One Hot Encoder"", ""node_name"": ""独热编码处理"", ""node_params"": {""encode_vars"": [""color""]}, ""matched"": false}, {""node_id"": ""2487"", ""widget_name"": ""Tree"", ""node_name"": ""决策树分类器"", ""node_params"": {""limit_min_leaf"": true, ""min_leaf"": 2, ""limit_min_internal"": true, ""min_internal"": 5, ""limit_depth"": true, ""max_depth"": 100}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2063"", ""source_node_id"": ""2485"", ""target_node_id"": ""2487""}], ""step_requirements"": [{""node_id"": ""2485"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""怪物特征训练数据"", ""node_params"": {""table_name"": ""monster_train"", ""target_column"": ""type""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2487"", ""algorithm_step_name"": ""LightGBM"", ""node_name"": ""LightGBM分类器"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",0.6667
请根据旧金山所有社区近12年的犯罪报告，训练一个机器学习模型以预测犯罪类别。,1.0,13460,"{""edges"": [{""edge_id"": ""6626"", ""source_node_id"": ""2488"", ""target_node_id"": ""8531""}, {""edge_id"": ""6627"", ""source_node_id"": ""8531"", ""target_node_id"": ""2491""}], ""nodes"": [{""node_id"": ""2488"", ""widget_name"": ""SQL Table"", ""node_name"": ""旧金山所有社区近12年的犯罪报告训练数据"", ""node_params"": {""table_name"": ""crime_category_train"", ""target_column"": ""category""}, ""matched"": true}, {""node_id"": ""8531"", ""widget_name"": ""One Hot Encoder"", ""node_name"": ""独热编码处理"", ""node_params"": {""encode_vars"": [""dayOfWeek"", ""pdDistrict""]}, ""matched"": false}, {""node_id"": ""2491"", ""widget_name"": ""Random Forest"", ""node_name"": ""随机森林分类器"", ""node_params"": {""n_estimators"": 10, ""use_max_features"": false, ""max_features"": ""auto"", ""use_random_state"": false, ""use_max_depth"": false, ""max_depth"": 3, ""use_min_samples_split"": true, ""min_samples_split"": 2}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2065"", ""source_node_id"": ""2488"", ""target_node_id"": ""2491""}], ""step_requirements"": [{""node_id"": ""2488"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""旧金山社区犯罪报告数据"", ""node_params"": {""table_name"": ""crime_category_train"", ""target_column"": ""category""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2491"", ""algorithm_step_name"": ""LightGBM"", ""node_name"": ""LightGBM分类器"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",0.8
请你构建一个模型，用于根据鲍鱼的各种物理测量数据来预测它的年龄。,1.0,12778,"{""edges"": [{""edge_id"": ""6628"", ""source_node_id"": ""2493"", ""target_node_id"": ""8534""}, {""edge_id"": ""6629"", ""source_node_id"": ""8534"", ""target_node_id"": ""2496""}], ""nodes"": [{""node_id"": ""2493"", ""widget_name"": ""SQL Table"", ""node_name"": ""鲍鱼训练数据"", ""node_params"": {""table_name"": ""abalone_train"", ""target_column"": ""rings""}, ""matched"": true}, {""node_id"": ""8534"", ""widget_name"": ""One Hot Encoder"", ""node_name"": ""鲍鱼数据独热编码"", ""node_params"": {""encode_vars"": [""sex""]}, ""matched"": false}, {""node_id"": ""2496"", ""widget_name"": ""Random Forest"", ""node_name"": ""随机森林回归器"", ""node_params"": {""n_estimators"": 10, ""use_max_features"": false, ""max_features"": ""auto"", ""use_random_state"": false, ""use_max_depth"": false, ""max_depth"": 3, ""use_min_samples_split"": true, ""min_samples_split"": 2}, ""matched"": true}]}","{""dependency_requirements"": [{""edge_id"": ""2071"", ""source_node_id"": ""2493"", ""target_node_id"": ""2496""}], ""step_requirements"": [{""node_id"": ""2493"", ""algorithm_step_name"": ""Tabular Dataset Loading"", ""node_name"": ""鲍鱼物理测量数据训练集"", ""node_params"": {""table_name"": ""abalone_train"", ""target_column"": ""rings""}, ""contrast_level"": 2, ""node_type"": ""io""}, {""node_id"": ""2496"", ""algorithm_step_name"": ""XGBoost"", ""node_name"": ""XGBoost回归器"", ""node_params"": {}, ""contrast_level"": 0, ""node_type"": ""model""}]}",0.8
